seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4014,50,mappo_off,225,225,292.662,263.0,586.3,2.5106,1.0,95,0,353.209,1.0,232.116,1.0,353.209,1.0,73,0.0,0,0.5978,7.3
4011,25,mappo_off,112,338,681.233,678.5,1259.3,1.9842,1.0,281,0,685.357,1.0,679.867,1.0,685.357,1.0,65,0.0,0,0.4402,8.9
4026,50,dijkstra,225,225,518.404,476.5,1053.0,2.3644,1.0,233,0,532.364,1.0,504.444,1.0,532.364,1.0,116,0.0,0,,5.3
4015,10,dijkstra,45,405,573.018,535.0,1119.4,2.2691,1.0,274,0,622.778,1.0,567.489,1.0,622.778,1.0,27,0.0,0,,3.1
4013,50,mappo_on,225,225,576.931,561.0,1178.1,2.2462,1.0,256,0,569.018,1.0,584.844,1.0,569.018,1.0,122,0.0,0,0.0,12.0
4016,100,dijkstra,450,0,213.807,227.5,351.0,1.6532,1.0,42,0,213.807,1.0,,,213.807,1.0,42,0.0,0,,4.3
4027,25,mappo_on,112,338,680.322,581.5,1459.1,2.723,1.0,257,0,759.134,1.0,654.207,1.0,759.134,1.0,77,0.0,0,0.0,10.5
4020,75,mappo_off,338,112,293.809,252.5,553.1,2.517,1.0,110,0,325.243,1.0,198.946,1.0,325.243,1.0,99,0.0,0,0.4853,8.1
4013,25,mappo_on,112,338,576.616,571.0,1141.0,2.143,1.0,250,0,587.554,1.0,572.991,1.0,587.554,1.0,60,0.0,0,0.0,8.3
4029,10,mappo_on,45,405,311.047,292.5,545.0,1.9525,1.0,117,0,314.4,1.0,310.674,1.0,314.4,1.0,16,0.0,0,0.0,2.9
4023,10,mappo_off,45,405,560.604,515.5,1115.1,2.2877,1.0,258,0,734.978,1.0,541.23,1.0,734.978,1.0,31,0.0,0,0.6377,6.3
4017,50,dijkstra,225,225,545.064,473.0,1133.0,2.4863,1.0,252,0,546.871,1.0,543.258,1.0,546.871,1.0,121,0.0,0,,5.0
4022,50,mappo_on,225,225,562.167,528.0,1143.4,2.2977,1.0,256,0,552.96,1.0,571.373,1.0,552.96,1.0,121,0.0,0,0.0,9.3
4015,10,mappo_off,45,405,517.996,465.0,1047.1,2.402,1.0,259,0,657.622,1.0,502.481,1.0,657.622,1.0,28,0.0,0,0.6145,5.5
