seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4024,75,mappo_off,338,112,639.698,612.0,1167.8,2.0385,1.0,272,0,645.817,1.0,621.232,1.0,645.817,1.0,203,0.0,0,0.5241,16.7
4014,50,mappo_off,225,225,283.949,275.0,510.0,2.0969,1.0,96,0,315.44,1.0,252.458,1.0,315.44,1.0,66,0.0,0,0.5287,6.7
4026,50,mappo_off,225,225,439.007,410.5,856.4,2.1998,1.0,201,0,461.698,1.0,416.316,1.0,461.698,1.0,111,0.0,0,0.466,10.4
4011,50,mappo_on,225,225,675.164,690.5,1265.2,1.9234,1.0,280,0,716.698,1.0,633.631,1.0,716.698,1.0,140,0.0,0,0.3599,14.2
4029,75,mappo_off,338,112,326.993,320.0,603.1,2.0125,1.0,136,0,350.21,1.0,256.929,1.0,350.21,1.0,115,0.0,0,0.3785,8.1
4020,100,dijkstra,450,0,242.744,226.0,409.2,1.969,1.0,72,0,242.744,1.0,,,242.744,1.0,72,0.0,0,,4.0
4018,10,dijkstra,45,405,353.009,222.0,852.4,4.1782,1.0,169,0,334.8,1.0,355.032,1.0,334.8,1.0,17,0.0,0,,1.5
4012,100,mappo_off,450,0,1129.858,1230.0,1762.1,1.4826,1.0,374,0,1129.858,1.0,,,1129.862,1.0,374,0.0,0,0.5492,35.8
4012,50,mappo_off,225,225,1472.947,1656.5,2231.9,1.4012,1.0,392,0,1578.213,1.0,1367.68,1.0,1578.213,1.0,188,0.0,0,0.5591,23.6
4010,10,mappo_on,45,405,1321.74,1617.5,2185.6,1.4009,1.0,366,0,1184.511,1.0,1336.988,1.0,1184.511,1.0,34,0.0,0,0.5116,8.3
4027,25,dijkstra,112,338,630.369,518.5,1406.1,2.9021,1.0,247,0,685.446,1.0,612.118,1.0,685.446,1.0,68,0.0,0,,4.0
4017,10,dijkstra,45,405,538.856,462.0,1121.1,2.624,1.0,248,0,578.822,1.0,534.415,1.0,578.822,1.0,29,0.0,0,,2.8
4014,75,mappo_on,338,112,301.847,287.0,563.4,2.2044,1.0,103,0,317.05,1.0,255.964,1.0,317.05,1.0,90,0.0,0,0.4798,8.4
4020,100,mappo_on,450,0,260.578,217.0,496.0,2.5401,1.0,85,0,260.578,1.0,,,260.578,1.0,85,0.0,0,0.3133,9.3
4028,10,mappo_on,45,405,658.484,587.0,1254.3,2.3716,1.0,286,0,714.733,1.0,652.235,1.0,714.733,1.0,32,0.0,0,0.3664,5.5
4028,75,mappo_on,338,112,718.402,700.5,1306.3,2.0134,1.0,285,0,737.204,1.0,661.661,1.0,737.204,1.0,218,0.0,0,0.4072,18.1
4023,75,mappo_on,338,112,562.267,525.5,1060.1,2.1505,1.0,257,0,595.003,1.0,463.473,1.0,595.003,1.0,203,0.0,0,0.4605,17.1
4010,75,mappo_on,338,112,1281.831,1299.5,2072.1,1.6427,1.0,361,0,1334.121,1.0,1124.027,1.0,1334.124,1.0,274,0.0,0,0.4888,29.6
4023,25,mappo_on,112,338,549.953,481.5,1105.2,2.4486,1.0,249,0,647.75,1.0,517.547,1.0,647.75,1.0,67,0.0,0,0.5399,8.6
4027,100,mappo_off,450,0,640.036,651.0,1208.2,2.0578,1.0,265,0,640.036,1.0,,,640.036,1.0,265,0.0,0,0.5099,20.3
4022,100,mappo_on,450,0,546.853,509.0,1019.1,2.2004,1.0,239,0,546.853,1.0,,,546.853,1.0,239,0.0,0,0.4839,16.7
4015,10,dijkstra,45,405,573.018,535.0,1119.4,2.2691,1.0,274,0,622.778,1.0,567.489,1.0,622.778,1.0,27,0.0,0,,3.5
4024,75,dijkstra,338,112,743.636,709.0,1405.2,2.0826,1.0,293,0,756.911,1.0,703.571,1.0,756.911,1.0,222,0.0,0,,9.0
4028,100,mappo_on,450,0,702.138,669.0,1277.1,2.084,1.0,270,0,702.138,1.0,,,702.138,1.0,271,0.0,0,0.3581,22.1
