checkpoint,seed,sample_idx,avg_travel_time,p50_travel_time,p90_travel_time,completion_rate,route_choice_nonzero_rate,baseline_avg_travel_time,baseline_p90_travel_time,greedy_ep74_avg_travel_time,greedy_ep74_p90_travel_time
ep74_best,6000,0,402.5,374.5,789.7000000000002,1.0,0.4454775993237532,536.0933333333334,1082.7000000000003,396.64,750.3000000000001
ep74_best,6000,1,403.43111111111114,373.0,783.2,1.0,0.44921552436003304,536.0933333333334,1082.7000000000003,396.64,750.3000000000001
ep74_best,6000,2,394.0133333333333,365.0,764.1,1.0,0.4343185550082102,536.0933333333334,1082.7000000000003,396.64,750.3000000000001
ep74_best,6001,0,1109.4066666666668,1327.5,1879.5,1.0,0.5179386823222439,1398.0511111111111,2093.5,684.9733333333334,1211.2
ep74_best,6001,1,668.5644444444445,645.0,1199.2,1.0,0.508359133126935,1398.0511111111111,2093.5,684.9733333333334,1211.2
ep74_best,6001,2,657.0711111111111,659.0,1173.2,1.0,0.49425947187141217,1398.0511111111111,2093.5,684.9733333333334,1211.2
ep74_best,6002,0,329.6088888888889,280.5,629.1,1.0,0.41388888888888886,329.1777777777778,671.2,347.6355555555556,670.3000000000001
ep74_best,6002,1,336.6377777777778,301.5,645.5000000000001,1.0,0.41833030852994557,329.1777777777778,671.2,347.6355555555556,670.3000000000001
ep74_best,6002,2,348.93111111111114,311.5,663.5000000000001,1.0,0.43661971830985913,329.1777777777778,671.2,347.6355555555556,670.3000000000001
ep74_best,6003,0,585.4933333333333,587.5,1102.2,1.0,0.48558014755197854,1166.5177777777778,1817.7000000000003,583.6977777777778,1086.5
ep74_best,6003,1,1023.7688888888889,1238.0,1761.4000000000003,1.0,0.5074716078900179,1166.5177777777778,1817.7000000000003,583.6977777777778,1086.5
ep74_best,6003,2,1220.331111111111,1505.5,2033.4,1.0,0.5324921135646687,1166.5177777777778,1817.7000000000003,583.6977777777778,1086.5
ep74_best,6004,0,303.9577777777778,296.5,560.3000000000001,1.0,0.3816155988857939,236.22222222222223,395.0,237.60444444444445,441.60000000000014
ep74_best,6004,1,289.0622222222222,272.5,530.1,1.0,0.37783832879200724,236.22222222222223,395.0,237.60444444444445,441.60000000000014
ep74_best,6004,2,288.74444444444447,279.0,522.1,1.0,0.3799043062200957,236.22222222222223,395.0,237.60444444444445,441.60000000000014
ep74_best,6005,0,647.3155555555555,624.5,1192.6000000000001,1.0,0.46348517715112075,675.9577777777778,1256.8000000000002,640.9622222222222,1201.4
ep74_best,6005,1,643.1066666666667,607.5,1180.2,1.0,0.4602821083890126,675.9577777777778,1256.8000000000002,640.9622222222222,1201.4
ep74_best,6005,2,645.3066666666666,636.5,1194.7000000000003,1.0,0.4697301239970824,675.9577777777778,1256.8000000000002,640.9622222222222,1201.4
ep74_best,6006,0,368.4288888888889,301.5,737.2,1.0,0.44143356643356646,404.76444444444445,897.0,354.4244444444444,705.3000000000001
ep74_best,6006,1,356.03777777777776,329.0,701.1,1.0,0.4426229508196721,404.76444444444445,897.0,354.4244444444444,705.3000000000001
ep74_best,6006,2,370.09777777777776,319.5,752.3000000000001,1.0,0.4433713784021071,404.76444444444445,897.0,354.4244444444444,705.3000000000001
ep74_best,6007,0,543.1377777777777,503.5,1019.3000000000001,1.0,0.48349687778768957,570.1866666666666,1100.1,540.4333333333333,1028.1
ep74_best,6007,1,554.3488888888888,546.5,1052.3000000000002,1.0,0.46908127208480566,570.1866666666666,1100.1,540.4333333333333,1028.1
ep74_best,6007,2,551.6888888888889,519.5,1056.1,1.0,0.48658008658008656,570.1866666666666,1100.1,540.4333333333333,1028.1
ep74_best,6008,0,313.3822222222222,284.5,601.3000000000001,1.0,0.385470719051149,331.14444444444445,740.3000000000001,303.5466666666667,588.3000000000001
ep74_best,6008,1,316.7288888888889,289.0,595.4000000000001,1.0,0.3968012185833968,331.14444444444445,740.3000000000001,303.5466666666667,588.3000000000001
ep74_best,6008,2,312.56888888888886,286.5,607.3000000000001,1.0,0.39570552147239263,331.14444444444445,740.3000000000001,303.5466666666667,588.3000000000001
ep74_best,6009,0,331.2288888888889,321.5,595.1,1.0,0.43439363817097415,268.5177777777778,468.0,311.30444444444447,569.1
